Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

315       1 00000070h 0Ch 
316       1 00000074h 0Ch 
317       1 00000070h 0Ch 
318       1 00000074h 0Ch 
319       1 00000070h 0Ch 
320       1 00000074h 0Ch 
321       1 00000070h 0Ch 
322       1 00000074h 0Ch 
323       1 00000070h 0Ch 
324       1 00000074h 0Ch 
325       1 00000070h 0Ch 
326       1 00000074h 0Ch 
327       1 00000070h 0Ch 
328       1 00000074h 0Ch 
329       1 00000070h 0Ch 
330       1 00000074h 0Ch 
331       1 00000070h 0Ch 
332       1 00000074h 0Ch 
333       1 00000070h 0Ch 
334       1 00000074h 0Ch 
335       1 00000070h 0Ch 
336       1 00000074h 0Ch 
337       1 00000070h 0Ch 
338       1 00000074h 0Ch 
339       1 00000070h 0Ch 
340       1 00000074h 0Ch 
341       1 00000070h 0Ch 
342       1 00000074h 0Ch 
343       1 00000070h 0Ch 
344       1 00000074h 0Ch 
345       1 00000070h 0Ch 
346       1 00000074h 0Ch 
347       1 00000070h 0Ch 
348       1 00000074h 0Ch 
349       1 00000070h 0Ch 
350       1 00000074h 0Ch 
351       1 00000070h 0Ch 
352       1 00000074h 0Ch 
353       1 00000070h 0Ch 
354       1 00000074h 0Ch 
355       1 00000070h 0Ch 
356       1 00000074h 0Ch 
357       1 00000070h 0Ch 
358       1 00000074h 0Ch 
359       1 00000070h 0Ch 
360       1 00000074h 0Ch 
361       1 00000070h 0Ch 
362       1 00000074h 0Ch 
363       1 00000070h 0Ch 
364       1 00000074h 0Ch 
365       1 00000070h 0Ch 
366       1 00000074h 0Ch 
367       1 00000070h 0Ch 
368       1 00000074h 0Ch 
369       1 00000070h 0Ch 
370       1 00000074h 0Ch 
371       1 00000070h 0Ch 
372       1 00000074h 0Ch 
373       1 00000070h 0Ch 
374       1 00000074h 0Ch 
375       1 00000070h 0Ch 
376       1 00000074h 0Ch 
377       1 00000070h 0Ch 
378       1 00000074h 0Ch 
379       1 00000070h 0Ch 
380       1 00000074h 0Ch 
381       1 00000070h 0Ch 
382       1 00000074h 0Ch 
383       1 00000070h 0Ch 
384       1 00000074h 0Ch 
385       1 00000070h 0Ch 
386       1 00000074h 0Ch 
387       1 00000070h 0Ch 
388       1 00000074h 0Ch 
389       1 00000070h 0Ch 
390       1 00000074h 0Ch 
391       1 00000070h 0Ch 
392       1 00000074h 0Ch 
393       1 00000070h 0Ch 
394       1 00000074h 0Ch 
395       1 00000070h 0Ch 
396       1 00000074h 0Ch 
397       1 00000070h 0Ch 
398       1 00000074h 0Ch 
399       1 00000070h 0Ch 
400       1 00000074h 0Ch 
401       1 00000070h 0Ch 
402       1 00000074h 0Ch 
403       1 00000070h 0Ch 
404       1 00000074h 0Ch 
405       1 00000070h 0Ch 
406       1 00000074h 0Ch 
407       1 00000070h 0Ch 
408       1 00000074h 0Ch 
409       1 00000070h 0Ch 
410       1 00000074h 0Ch 
411       1 00000070h 0Ch 
412       1 00000074h 0Ch 
413       1 00000070h 0Ch 
414       1 00000074h 0Ch 
415       1 00000070h 0Ch 
416       1 00000074h 0Ch 
417       1 00000070h 0Ch 
418       1 00000074h 0Ch 
419       1 00000070h 0Ch 
420       1 00000074h 0Ch 
421       1 00000070h 0Ch 
422       1 00000074h 0Ch 
423       1 00000070h 0Ch 
424       1 00000074h 0Ch 
425       1 00000070h 0Ch 
426       1 00000074h 0Ch 
427       1 00000070h 0Ch 
428       1 00000074h 0Ch 
429       1 00000070h 0Ch 
430       1 00000074h 0Ch 
431       1 00000070h 0Ch 
432       1 00000074h 0Ch 
433       1 00000070h 0Ch 
434       1 00000074h 0Ch 
